English,Russian
cheek,щека
cheese,сыр
chemical,химический/химикат
chest,грудь/сундук
chicken,курица/цыпленок
chief,главный/руководитель
child,ребенок/дитя
childhood,детство
chip,чип/микрочип
chocolate,шоколад
choice,выбор
choose,выбирать
church,церковь
cigarette,сигарета
circle,круг/окружность
circumstance,обстоятельство/условие
citizen,гражданин
city,город
civil,гражданский/вежливый
claim,утверждать/требовать
class,класс/занятие
classic,классический
classical,классический
clean,чистый/чистить
clear,ясный/очищать
clearly,ясно/очевидно
clerk,клерк/служащий
clever,умный/смышленый
client,клиент/заказчик
climate,климат
climb,подниматься/лазить
clock,часы
close,закрывать/близкий
closely,внимательно/тесно
clothes,одежда
clothing,одежда
cloud,облако
club,клуб
coach,тренер/автобус
coal,уголь
coast,побережье
coat,пальто/покрытие
code,код/шифр
coffee,кофе
coin,монета
cold,холодный/простуда
collapse,обрушиваться/крах
colleague,коллега
collect,собирать/коллекционировать
collection,коллекция/сбор
college,колледж
colour/color,цвет/окраска
combination,комбинация/сочетание
combine,комбинировать/сочетать
come,приходить/приезжать
comfort,комфорт/утешение
comfortable,комфортный/удобный
command,команда/приказ
comment,комментарий/комментировать
commercial,коммерческий/реклама
commission,комиссия/поручение
commit,совершать/обязываться
commitment,обязательство/приверженность
committee,комитет/комиссия
common,общий/распространенный
communicate,общаться/сообщать
communication,общение/связь
community,сообщество/община
company,компания/общество
compare,сравнивать
comparison,сравнение
compete,конкурировать/соревноваться
competition,конкуренция/соревнование
competitive,конкурентоспособный
complain,жаловаться
complaint,жалоба
complete,полный/завершать
completely,полностью/совершенно
complex,сложный/комплекс
complicated,сложный/запутанный
component,компонент/составная часть
computer,компьютер
concentrate,концентрироваться/сосредотачиваться
concentration,концентрация/сосредоточенность
concept,концепция/понятие
concern,беспокойство/касаться
concerned,озабоченный/заинтересованный
concerning,относительно/касательно
concert,концерт
conclude,заключать/делать вывод
conclusion,заключение/вывод
condition,условие/состояние
conduct,проводить/руководство
conference,конференция/совещание
confidence,уверенность/доверие
confident,уверенный
confirm,подтверждать
conflict,конфликт/столкновение
confuse,путать/сбивать с толку
connect,соединять/связывать
connection,связь/соединение
conscious,сознательный/осознающий
consciousness,сознание
consent,согласие/разрешение
consequence,последствие/результат
conservative,консервативный
consider,считать/рассматривать
considerable,значительный/немалый
consideration,рассмотрение/внимание
consist,состоять
consistent,последовательный/соответствующий
constant,постоянный/непрерывный
constantly,постоянно/непрерывно
construct,строить/сооружать
construction,строительство/конструкция
consumer,потребитель/покупатель
contact,контакт/связываться
contain,содержать/вмещать
contemporary,современный/нынешний
content,содержание/довольный
contest,конкурс/соревнование
context,контекст/обстановка
continue,продолжать
continuous,непрерывный/постоянный
contract,контракт/договор
contrast,контраст/противопоставление
contribute,способствовать/вносить вклад
contribution,вклад/содействие
control,контроль/управление
convenient,удобный/подходящий
conversation,разговор/беседа
convert,преобразовывать/конвертировать
convince,убеждать
cook,готовить/повар
cool,прохладный/крутой
copy,копия/копировать
core,ядро/суть
corner,угол
corporate,корпоративный
correct,правильный/исправлять
cost,стоить/стоимость
could,мог/мог бы
council,совет/орган управления
count,считать/подсчитывать
counter,стойка/счетчик
country,страна/деревня
countryside,сельская местность
county,графство/округ
couple,пара/несколько
courage,мужество/смелость
course,курс/естественно
court,суд/корт
cousin,двоюродный брат/сестра
cover,покрывать/обложка
cow,корова
crack,трещина/трескаться
craft,ремесло/мастерство
crash,авария/сбоить
crazy,сумасшедший/безумный
create,создавать/творить
creation,создание/творение
creative,творческий/креативный
creature,существо/тварь
credit,кредит/заслуга
crime,преступление
criminal,преступник/уголовный
crisis,кризис
criterion,критерий
critical,критический/критичный
criticism,критика
criticize,критиковать
crop,урожай/культура
cross,крест/пересекать
crowd,толпа
crucial,решающий/критический
cry,плакать/кричать
cultural,культурный
culture,культура
cup,чашка/кубок
curious,любопытный/любознательный
currency,валюта
current,текущий/нынешний
currently,в настоящее время
curtain,занавес/штора
curve,кривая/изгиб
custom,обычай/традиция
customer,клиент/покупатель
cut,резать/порез
cute,милый/симпатичный
cycle,цикл/ездить на велосипеде
dad,папа
daily,ежедневный/ежедневно
damage,ущерб/повреждать
dance,танец/танцевать
danger,опасность
dangerous,опасный
dare,сметь/осмеливаться
dark,темный/тьма
data,данные
date,дата/свидание
daughter,дочь
day,день
dead,мертвый
deal,сделка/иметь дело
dear,дорогой/уважаемый
death,смерть
debate,дебаты/дискуссия
debt,долг
decade,десятилетие
decide,решать
decision,решение
declare,объявлять/заявлять
decline,снижаться/отклонять
decorate,украшать/отделывать
decrease,уменьшать/снижение
deep,глубокий
deeply,глубоко/сильно
defeat,поражение/побеждать
defence/defense,оборона/защита
defend,защищать/оборонять
define,определять/формулировать
definite,определенный/точный
definitely,определенно/безусловно
definition,определение
degree,степень/градус
delay,задержка/задерживать
deliver,доставлять/передавать
delivery,доставка
demand,требование/требовать
democratic,демократический
demonstrate,демонстрировать/показывать
dentist,зубной врач
deny,отрицать/отказывать
department,отдел/департамент
depend,зависеть
deposit,вклад/депозит
depress,угнетать/приводить в уныние
depth,глубина
describe,описывать
description,описание
desert,пустыня/покидать
deserve,заслуживать
design,дизайн/проектировать
designer,дизайнер/конструктор
desire,желание/желать
desk,письменный стол
despite,несмотря на
destroy,уничтожать/разрушать
destruction,уничтожение/разрушение
detail,деталь/подробность
detailed,подробный/детальный
detect,обнаруживать/выявлять
determine,определять/устанавливать
develop,развивать/разрабатывать
development,развитие/разработка
device,устройство/прибор
devote,посвящать/уделять
diagram,диаграмма/схема
diamond,алмаз/бриллиант
diary,дневник
die,умирать
diet,диета/питание
differ,отличаться
difference,разница/различие
different,разный/отличный
difficult,трудный/сложный
difficulty,трудность/сложность
dig,копать/рыть
dimension,измерение/размер
dinner,ужин/обед
direct,прямой/направлять
direction,направление/указание
directly,непосредственно/прямо
director,директор/режиссер
dirty,грязный
disabled,инвалид/недееспособный
disagree,не соглашаться
disappear,исчезать
disappoint,разочаровывать
disaster,катастрофа/бедствие
discipline,дисциплина
discount,скидка/дисконт
discover,открывать/обнаруживать
discovery,открытие
discuss,обсуждать
discussion,обсуждение/дискуссия
disease,болезнь/заболевание
dish,блюдо/тарелка
disk/disc,диск
dismiss,увольнять/отклонять
display,дисплей/показывать
distance,расстояние
distant,отдаленный/далекий
distribute,распределять/распространять
distribution,распределение/распространение
district,район/округ
divide,делить/разделять
division,деление/раздел
divorce,развод/разводиться
do,делать
doctor,доктор/врач
document,документ
dog,собака
dollar,доллар
domestic,внутренний/домашний
door,дверь
double,двойной/удваивать
doubt,сомнение/сомневаться
down,вниз/внизу
download,скачивать/загрузка
downtown,центр города/деловой центр
dozen,дюжина
draft,черновик/проект
drag,тащить/тянуть
drama,драма
dramatic,драматический/впечатляющий
draw,рисовать/тащить
drawer,ящик/рисовальщик
dream,мечта/сновидение
dress,платье/одеваться
drink,пить/напиток
drive,водить/ездить
driver,водитель
drop,капля/падать
drug,лекарство/наркотик
dry,сухой/сушить
due,должный/следующий
during,в течение/во время
dust,пыль
duty,обязанность/долг
each,каждый
ear,ухо
early,ранний/рано
earn,зарабатывать
earth,земля/планета
east,восток/восточный
eastern,восточный
easy,легкий/простой
eat,есть/кушать
economic,экономический
economy,экономика
edge,край/острие
edit,редактировать
edition,издание/тираж
editor,редактор
education,образование
effect,эффект/результат
effective,эффективный/действенный
effectively,эффективно/действенно
efficient,эффективный/продуктивный
effort,усилие/попытка
egg,яйцо
either,либо/также
elderly,пожилой/престарелый
elect,избирать/выбирать
election,выборы
electric,электрический
electronic,электронный
element,элемент/составная часть
else,еще/другой
elsewhere,в другом месте
email/e-mail,электронная почта
embarrass,смущать/ставить в неловкое положение
emerge,появляться/возникать
emergency,чрезвычайная ситуация
emotion,эмоция/чувство
emotional,эмоциональный
emphasis,акцент/ударение
emphasize,подчеркивать/акцентировать
employ,нанимать/использовать
employee,сотрудник/работник
employer,работодатель
employment,трудоустройство/занятость
empty,пустой/опорожнять
enable,позволять/давать возможность
encourage,поощрять/ободрять
end,конец/заканчивать
enemy,враг/противник
energy,энергия
engage,заниматься/обручаться
engine,двигатель/мотор
engineer,инженер
engineering,инженерия
enjoy,наслаждаться/любить
enormous,огромный
enough,достаточно/довольно
ensure,гарантировать/обеспечивать
enter,входить/поступать
enterprise,предприятие/предпринимательство
entertain,развлекать
entertainment,развлечение
enthusiasm,энтузиазм
entire,весь/целый
entirely,полностью/совершенно
entitle,давать право/называть
entry,вход/запись
environment,окружающая среда/обстановка
environmental,экологический/окружающей среды
equal,равный/равняться
equally,одинаково/в равной степени
equipment,оборудование/оснащение
error,ошибка
escape,побег/спасаться
especially,особенно/в особенности
essential,существенный/необходимый
establish,устанавливать/учреждать
estate,имущество/недвижимость
estimate,оценка/оценивать
etc,и так далее
ethnic,этнический
even,даже/четный
evening,вечер
event,событие
eventually,в конечном счете/в конце концов
ever,когда-либо
every,каждый/всякий
everybody,все/каждый
everyone,все/каждый
everything,все/всё
everywhere,везде/всюду
evidence,доказательство/свидетельство
evil,зло/злой
exact,точный/точный
exactly,точно/именно
exam,экзамен
examination,экзамен/осмотр
examine,исследовать/рассматривать
example,пример
excellent,отличный/превосходный
except,кроме/исключая
exception,исключение
exchange,обмен/обмениваться
excite,волновать/возбуждать
exciting,захватывающий/волнующий
exclude,исключать
excuse,оправдание/извинение
executive,исполнительный/руководитель
exercise,упражнение/тренировка
exhibit,экспонат/выставлять
exhibition,выставка
exist,существовать
existence,существование
existing,существующий
exit,выход/выезд
expand,расширять/расширяться
expansion,расширение
expect,ожидать/предполагать
expectation,ожидание
expense,расход/затраты
expensive,дорогой/дорогостоящий
experience,опыт/переживание
experiment,эксперимент/опыт
expert,эксперт/специалист
explain,объяснять
explanation,объяснение
explore,исследовать/изучать
explosion,взрыв
export,экспорт/экспортировать
expose,выставлять/подвергать
express,выражать/экспресс
expression,выражение
extend,расширять/продлевать
extension,расширение/продление
extensive,обширный/значительный
extent,степень/мера
external,внешний/внешний
extra,дополнительный/лишний
extraordinary,необыкновенный/экстраординарный
extreme,экстремальный/крайний
extremely,чрезвычайно/крайне
eye,глаз
face,лицо/сталкиваться
facility,удобство/объект
fact,факт
factor,фактор
factory,фабрика/завод
fail,терпеть неудачу/проваливаться
failure,неудача/провал
fair,справедливый/ярмарка
fairly,довольно/справедливо
faith,вера/доверие
faithful,верный/преданный
fall,падать/осень
false,ложный/неверный
familiar,знакомый/известный
family,семья
famous,известный/знаменитый
fan,вентилятор/поклонник
fancy,причудливый/воображать
fantastic,фантастический/превосходный
far,далекий/далеко
farm,ферма/хозяйство
farmer,фермер
fashion,мода/стиль
fast,быстрый/быстро
fat,жир/толстый
father,отец
fault,вина/недостаток
favour/favor,одолжение/благосклонность
favourite/favorite,любимый/фаворит
fear,страх/бояться
feature,черта/функция
federal,федеральный
fee,плата/взнос
feed,кормить/питать
feel,чувствовать/ощущать
feeling,чувство/ощущение
female,женский/женщина
few,несколько/мало
field,поле/область
fight,бороться/драка
figure,фигура/число
file,файл/папка
fill,наполнять/заполнять
film,фильм/пленка
final,финальный/окончательный
finally,наконец/в конечном итоге
finance,финансы/финансировать
financial,финансовый
find,находить
finding,находка/результат
fine,хороший/штраф
finger,палец
finish,заканчивать/финиш
fire,огонь/увольнять
firm,фирма/твердый
first,первый/сначала
fish,рыба/рыбачить
fit,подходить/соответствовать
fix,исправлять/фиксировать
flag,флаг
flat,квартира/плоский
flavour/flavor,вкус/аромат
flight,полет/рейс
float,плавать/поплавок
floor,пол/этаж
flow,поток/течь
flower,цветок
fly,летать/муха
focus,фокус/сосредотачиваться
fold,складывать/сгибать
folk,народ/люди
follow,следовать/следить
following,следующий
food,еда/продукты
foot,нога/фут
football,футбол
for,для/в течение
force,сила/заставлять
foreign,иностранный
forest,лес
forever,навсегда
forget,забывать
forgive,прощать
fork,вилка
form,форма/образовывать
formal,формальный/официальный
former,бывший/прежний
formula,формула
forth,вперед/далее
fortune,удача/состояние
forward,вперед/пересылать
found,основывать
foundation,фундамент/основа
frame,рамка/каркас
free,свободный/бесплатный
freedom,свобода
freeze,замораживать/замерзать
frequency,частота
frequent,частый
frequently,часто
fresh,свежий
friend,друг
friendly,дружелюбный
friendship,дружба
from,из/от
front,передний/фронт
fruit,фрукт/плод
fuel,топливо
full,полный
fully,полностью/в полной мере
fun,веселье/развлечение
function,функция/функционировать
fund,фонд/финансировать
fundamental,фундаментальный/основной
funny,смешной/забавный
furniture,мебель
further,дальнейший/дополнительный
future,будущее/будущий
gain,получать/прибыль
game,игра
gap,разрыв/промежуток
garage,гараж
garden,сад
gas,газ/бензин
gate,ворота/выход
gather,собирать/собираться
general,общий/генерал
generally,в целом/обычно
generate,генерировать/создавать
generation,поколение/генерация
generous,щедрый
gentle,нежный/мягкий
gentleman,джентльмен
get,получать/становиться
gift,подарок/дар
girl,девочка/девушка
give,давать
glad,рад/довольный
glass,стекло/стакан
global,глобальный/мировой
glove,перчатка
go,идти/ехать
goal,цель/гол
god,бог
gold,золото/золотой
good,хороший/добрый
government,правительство
grade,оценка/класс
gradually,постепенно
grand,великий/грандиозный
grandfather,дедушка
grandmother,бабушка
grant,грант/предоставлять
grass,трава
great,великий/большой
green,зеленый
grey/gray,серый
grin,ухмылка/ухмыляться
ground,земля/почва
group,группа
grow,расти/выращивать
growth,рост/развитие
guarantee,гарантия/гарантировать
guard,охрана/охранять
guess,догадываться/предполагать
guest,гость
guide,гид/руководство
guilty,виновный
gun,пистолет/ружье
guy,парень/человек
habit,привычка
hair,волосы
half,половина/половинный
hall,зал/коридор
hand,рука/передавать
handle,ручка/управлять
hang,вешать/висеть
happen,происходить/случаться
happiness,счастье
happy,счастливый
hard,твердый/трудный
hardly,едва/с трудом
harm,вред/вредить
hat,шляпа
hate,ненавидеть/ненависть
have,иметь
he,он
head,голова/руководитель
health,здоровье
healthy,здоровый
hear,слышать
heart,сердце
heat,жара/нагревать
heating,отопление
heavy,тяжелый
height,высота
hell,ад
hello,привет
help,помощь/помогать
helpful,полезный/отзывчивый
her,ее/ей
here,здесь/вот
hero,герой
hers,ее
herself,себя/сама
hey,эй
hi,привет
hide,прятать/скрывать
high,высокий
highlight,выделять/основной момент
highly,очень/высоко
hill,холм
him,его/ему
himself,себя/сам
his,его
historical,исторический
history,история
hit,удар/попадать
hold,держать/проводить
hole,отверстие/дыра
holiday,отпуск/праздник
home,дом/домой
homework,домашняя работа
honest,честный
hope,надежда/надеяться
hopefully,надеюсь
horrible,ужасный
horse,лошадь
hospital,больница
host,хозяин/ведущий
hot,горячий/жаркий
hotel,отель
hour,час
house,дом
household,домохозяйство/семья
housing,жилье
how,как/каким образом
however,однако/как бы ни
huge,огромный
human,человек/человеческий
humorous,юмористический
hungry,голодный
hurry,торопиться/спешка
hurt,причинять боль/больно
husband,муж
I,я
ice,лед
idea,идея
ideal,идеал/идеальный
identify,идентифицировать/определять
if,если
ignore,игнорировать
ill,больной
illegal,незаконный
illness,болезнь
illustrate,иллюстрировать
image,изображение/образ
imagination,воображение
imagine,воображать
immediate,немедленный/непосредственный
immediately,немедленно/сразу
impact,воздействие/влияние
implement,осуществлять/инструмент
implication,последствие/значение
imply,подразумевать
import,импорт/импортировать
importance,важность
important,важный
impose,навязывать/вводить
impossible,невозможный
impress,впечатлять
impression,впечатление
impressive,впечатляющий
improve,улучшать
improvement,улучшение
in,в/на
inch,дюйм
incident,инцидент/случай
include,включать/содержать
including,включая
income,доход
increase,увеличивать/рост
increasingly,все более
indeed,действительно/в самом деле
independence,независимость
independent,независимый
index,индекс/указатель
indicate,указывать/свидетельствовать
individual,индивидуальный/человек
industrial,промышленный
industry,промышленность/отрасль
inevitable,неизбежный
influence,влияние/влиять
inform,сообщать/информировать
information,информация
initial,начальный/первоначальный
initially,первоначально/сначала
initiative,инициатива
injury,травма/повреждение
inner,внутренний
innocent,невинный
innovation,инновация
inside,внутри/внутренняя часть
insist,настаивать
install,устанавливать
instance,пример/случай
instant,мгновенный/момент
instead,вместо
institute,институт/учреждение
institution,учреждение/институт
instruction,инструкция/указание
instrument,инструмент/прибор
insurance,страхование
intend,намереваться
intended,предназначенный
intention,намерение
interest,интерес/процент
interested,заинтересованный
interesting,интересный
internal,внутренний
international,международный
internet,интернет
interpret,интерпретировать
interview,интервью/собеседование
into,в/внутрь
introduce,представлять/вводить
introduction,введение/представление
invent,изобретать
invest,инвестировать
investigate,расследовать/исследовать
investigation,расследование/исследование
investment,инвестиция/вложение
invite,приглашать
involve,вовлекать/содержать
involved,вовлеченный/участвующий
iron,железо/утюг
island,остров
issue,вопрос/выпускать
it,он/она/оно
item,пункт/предмет
its,его/ее/свой
itself,себя/сам
jacket,пиджак/куртка
job,работа
join,присоединяться/соединять
joint,совместный/сустав
joke,шутка/шутить
journalist,журналист
journey,путешествие
joy,радость
judge,судья/судить
judgment,суждение/решение
juice,сок
jump,прыгать/прыжок
junior,младший
just,только что/справедливый
justice,справедливость/юстиция
justify,оправдывать
keep,держать/продолжать
key,ключ/ключевой
kick,удар/пинать
kid,ребенок/шучу
kill,убивать
kind,вид/добрый
king,король
kitchen,кухня
knee,колено
knife,нож
knock,стучать/стук
know,знать
knowledge,знание
lab,лаборатория
label,метка/маркировать
labor/labour,труд/работа
laboratory,лаборатория
lack,недостаток/отсутствие
lady,леди/женщина
lake,озеро
land,земля/приземляться
language,язык
large,большой/крупный
largely,в значительной степени
last,последний/длиться
late,поздний/опоздавший
later,позже/позднее
latter,последний/второй
laugh,смеяться/смех
laughter,смех
law,закон/право
lawyer,адвокат/юрист
lay,класть/положить
layer,слой
lazy,ленивый
lead,вести/свинец
leader,лидер/руководитель
leadership,лидерство/руководство
leading,ведущий/главный
leaf,лист
league,лига/союз
lean,наклоняться/худой
learn,учить/узнавать
least,наименьший/меньше всего
leather,кожа
leave,покидать/оставлять
left,левый/слева
leg,нога
legal,законный/юридический
leisure,досуг/свободное время
lend,одалживать/давать взаймы
length,длина
less,меньше/менее
lesson,урок
let,позволять/сдавать в аренду
letter,письмо/буква
level,уровень/уровневый
library,библиотека
license/licence,лицензия/разрешение
lie,ложь/лгать
life,жизнь
lift,поднимать/лифт
light,свет/легкий
like,нравиться/как
likely,вероятно/вероятный
limit,предел/ограничивать
limitation,ограничение
limited,ограниченный
line,линия/строка
link,ссылка/связывать
lip,губа
list,список/перечислять
listen,слушать
literature,литература
little,маленький/немного
live,жить/прямой эфир
living,живой/жизнь
load,нагрузка/загружать
loan,заем/ссуда
local,местный/локальный
locate,располагать/находить
location,местоположение/расположение
lock,замок/запирать
log,бревно/журнал
logical,логический
lonely,одинокий
long,длинный/долго
look,смотреть/взгляд
loose,свободный/неплотный
lose,терять/проигрывать
loss,потеря/убыток
lost,потерянный
lot,много/участок
loud,громкий
love,любовь/любить
lovely,прекрасный/милый
low,низкий
lower,нижний/понижать
luck,удача
lucky,удачливый
lunch,обед
machine,машина/аппарат
mad,сумасшедший/злой
magazine,журнал
magic,магия/волшебный
mail,почта/почтовый
main,главный/основной
mainly,главным образом
maintain,поддерживать/сохранять
maintenance,обслуживание/техобслуживание
major,основной/крупный
majority,большинство
make,делать/создавать
male,мужской/мужчина
man,мужчина/человек
manage,управлять/справляться
management,управление/руководство
manager,менеджер/управляющий
manner,способ/манера
many,многие/много
map,карта
mark,отметка/отмечать
market,рынок
marketing,маркетинг
marriage,брак/замужество
married,женатый/замужем
marry,жениться/выходить замуж
mass,масса/массовый
massive,массивный/огромный
master,мастер/овладевать
match,соответствие/матч
material,материал/вещество
math/maths,математика
matter,дело/иметь значение
maximum,максимум/максимальный
may,может/май
maybe,может быть
me,меня/мне
meal,еда/прием пищи
mean,значить/иметь в виду
meaning,значение/смысл
means,средство/способ
meanwhile,тем временем
measure,мера/измерять
measurement,измерение
meat,мясо
media,СМИ/медиа
medical,медицинский
medicine,медицина/лекарство
medium,средний/носитель
meet,встречать/знакомиться
meeting,встреча/совещание
member,член/участник
membership,членство
memory,память/воспоминание
mental,умственный/психический
mention,упоминать/упоминание
menu,меню
mere,простой/всего лишь
merely,просто/лишь
mess,беспорядок
message,сообщение
